,,,,,,,
,,,,,,,
,,,,,,,
Faculty,Area of Study,Area of Study Code,Level,Offered,Unit Code,Unit Name,More Info
Conservatorium of Music,Musicology,MCGY,UG,Both semesters,MCGY1003,Aural Perception 2,http://sydney.edu.au/courses/uos/MCGY1003
Conservatorium of Music,Musicology,MCGY,UG,Semester 1,MCGY1008,Harmony and Analysis 1,http://sydney.edu.au/courses/uos/MCGY1008
Conservatorium of Music,Musicology,MCGY,UG,Semester 2,MCGY1009,Harmony and Analysis 2,http://sydney.edu.au/courses/uos/MCGY1009
Conservatorium of Music,Musicology,MCGY,UG,Both semesters,MCGY1019,Musicology Workshop 1,http://sydney.edu.au/courses/uos/MCGY1019
Conservatorium of Music,Musicology,MCGY,UG,Both semesters,MCGY1020,Musicology Workshop 2,http://sydney.edu.au/courses/uos/MCGY1020
Conservatorium of Music,Musicology,MCGY,UG,Both semesters,MCGY2004,Aural Perception 3,http://sydney.edu.au/courses/uos/MCGY2004
Conservatorium of Music,Musicology,MCGY,UG,Both semesters,MCGY2005,Aural Perception 4,http://sydney.edu.au/courses/uos/MCGY2005
Conservatorium of Music,Musicology,MCGY,UG,Semester 1,MCGY2010,Harmony and Analysis 3,http://sydney.edu.au/courses/uos/MCGY2010
Conservatorium of Music,Musicology,MCGY,UG,Semester 2,MCGY2011,Harmony and Analysis 4,http://sydney.edu.au/courses/uos/MCGY2011
Conservatorium of Music,Musicology,MCGY,UG,Both semesters,MCGY2018,Musicology Workshop 3,http://sydney.edu.au/courses/uos/MCGY2018
Conservatorium of Music,Musicology,MCGY,UG,Both semesters,MCGY2019,Musicology Workshop 4,http://sydney.edu.au/courses/uos/MCGY2019
Conservatorium of Music,Musicology,MCGY,UG,Semester 2,MCGY2600,Advanced Harmony,http://sydney.edu.au/courses/uos/MCGY2600
Conservatorium of Music,Musicology,MCGY,UG,Both semesters,MCGY2603,Musicology 3,http://sydney.edu.au/courses/uos/MCGY2603
Conservatorium of Music,Musicology,MCGY,UG,Both semesters,MCGY2604,Musicology 4,http://sydney.edu.au/courses/uos/MCGY2604
Conservatorium of Music,Musicology,MCGY,UG,Semester 2,MCGY2611,Music from the Middle Ages to Baroque,http://sydney.edu.au/courses/uos/MCGY2611
Conservatorium of Music,Musicology,MCGY,UG,Semester 1,MCGY2612,Music in the Classical and Romantic Eras,http://sydney.edu.au/courses/uos/MCGY2612
Conservatorium of Music,Musicology,MCGY,UG,Semester 2,MCGY2613,Music in Modern Times,http://sydney.edu.au/courses/uos/MCGY2613
Conservatorium of Music,Musicology,MCGY,UG,Semester 1,MCGY2614,Musical Worlds of Today,http://sydney.edu.au/courses/uos/MCGY2614
Conservatorium of Music,Musicology,MCGY,UG,Semester 2,MCGY2615,The Ultimate Art: 400 Years of Opera,http://sydney.edu.au/courses/uos/MCGY2615
Conservatorium of Music,Musicology,MCGY,UG,Both semesters,MCGY3023,Musicology Workshop 5,http://sydney.edu.au/courses/uos/MCGY3023
Conservatorium of Music,Musicology,MCGY,UG,Both semesters,MCGY3024,Musicology Workshop 6,http://sydney.edu.au/courses/uos/MCGY3024
Conservatorium of Music,Musicology,MCGY,UG,Semester 2,MCGY3604,J.S. Bach and his World,http://sydney.edu.au/courses/uos/MCGY3604
Conservatorium of Music,Musicology,MCGY,UG,Both semesters,MCGY3605,Musicology 5,http://sydney.edu.au/courses/uos/MCGY3605
Conservatorium of Music,Musicology,MCGY,UG,Both semesters,MCGY3606,Musicology 6,http://sydney.edu.au/courses/uos/MCGY3606
Conservatorium of Music,Musicology,MCGY,UG,Semester 2,MCGY3617,Music Through Literature,http://sydney.edu.au/courses/uos/MCGY3617
Conservatorium of Music,Musicology,MCGY,UG,Semester 1,MCGY3627,Paleography of Music,http://sydney.edu.au/courses/uos/MCGY3627
Conservatorium of Music,Musicology,MCGY,UG,Semester 1,MCGY3629,Romanticism and the Fantastic,http://sydney.edu.au/courses/uos/MCGY3629
Conservatorium of Music,Musicology,MCGY,UG,Semester 2,MCGY3639,Modernism in Austria and Germany 1989-1914,http://sydney.edu.au/courses/uos/MCGY3639
Conservatorium of Music,Music Education,MUED,UG,Semester 1,MUED1004,Non Western Music,http://sydney.edu.au/courses/uos/MUED1004
Conservatorium of Music,Music Education,MUED,UG,Semester 2,MUED1005,Key Approaches in Music Education,http://sydney.edu.au/courses/uos/MUED1005
Conservatorium of Music,Music Education,MUED,UG,Semester 1,MUED1008,Fundamentals of Teaching,http://sydney.edu.au/courses/uos/MUED1008
Conservatorium of Music,Music Education,MUED,UG,Semester 2,MUED1009,Psychology of Learning and Instruction,http://sydney.edu.au/courses/uos/MUED1009
Conservatorium of Music,Music Education,MUED,UG,Semester 1,MUED1010,Key Ideas in Music Education,http://sydney.edu.au/courses/uos/MUED1010
Conservatorium of Music,Music Education,MUED,UG,Semester 2,MUED3031,Survey of Jazz History,http://sydney.edu.au/courses/uos/MUED3031
Conservatorium of Music,Music Education,MUED,UG,Semester 1,MUED4006,Popular Music Studies,http://sydney.edu.au/courses/uos/MUED4006
Conservatorium of Music,Music Foundations,MUSC,UG,Semester 2,MUSC1402,Contemporary Music Practice 2,http://sydney.edu.au/courses/uos/MUSC1402
Conservatorium of Music,Music Foundations,MUSC,UG,Semester 1,MUSC1501,Extended Fundamentals of Music,http://sydney.edu.au/courses/uos/MUSC1501
Conservatorium of Music,Music Foundations,MUSC,UG,Both semesters,MUSC1503,Fundamentals of Music 1,http://sydney.edu.au/courses/uos/MUSC1503
Conservatorium of Music,Music Foundations,MUSC,UG,Semester 2,MUSC1504,Fundamentals of Music 2,http://sydney.edu.au/courses/uos/MUSC1504
Conservatorium of Music,Music Foundations,MUSC,UG,Semester 2,MUSC1506,Music in Western Culture,http://sydney.edu.au/courses/uos/MUSC1506
Conservatorium of Music,Music Foundations,MUSC,UG,Semester 1,MUSC1507,Sounds~ Screens~ Speakers: Music & Media,http://sydney.edu.au/courses/uos/MUSC1507
Conservatorium of Music,Music Foundations,MUSC,UG,Both semesters,MUSC2300,Repertoire Orchestra 1,http://sydney.edu.au/courses/uos/MUSC2300
Conservatorium of Music,Music Foundations,MUSC,UG,Both semesters,MUSC2301,Repertoire Orchestra 2,http://sydney.edu.au/courses/uos/MUSC2301
Conservatorium of Music,Music Foundations,MUSC,UG,Semester 1,MUSC2612,Music Performance,http://sydney.edu.au/courses/uos/MUSC2612
Conservatorium of Music,Music Foundations,MUSC,UG,Semester 1,MUSC2614,Composition Workshop,http://sydney.edu.au/courses/uos/MUSC2614
Conservatorium of Music,Music Foundations,MUSC,UG,Semester 1,MUSC2622,Music in the Sixties,http://sydney.edu.au/courses/uos/MUSC2622
Conservatorium of Music,Music Foundations,MUSC,UG,Semester 2,MUSC2631,Music and Everyday Life,http://sydney.edu.au/courses/uos/MUSC2631
Conservatorium of Music,Music Foundations,MUSC,UG,Semester 1,MUSC2638,Jazz Hipsters and Hegemony,http://sydney.edu.au/courses/uos/MUSC2638
Conservatorium of Music,Music Foundations,MUSC,UG,Semester 1,MUSC2644,Introduction to the Philosophy of Music,http://sydney.edu.au/courses/uos/MUSC2644
Conservatorium of Music,Music Foundations,MUSC,UG,Semester 2,MUSC2645,Psychology of Music,http://sydney.edu.au/courses/uos/MUSC2645
Conservatorium of Music,Music Foundations,MUSC,UG,Semester 1,MUSC2653,Introduction to Digital Music Techniques,http://sydney.edu.au/courses/uos/MUSC2653
Conservatorium of Music,Music Foundations,MUSC,UG,Semester 2,MUSC2654,Popular Music,http://sydney.edu.au/courses/uos/MUSC2654
Conservatorium of Music,Music Foundations,MUSC,UG,Semester 2,MUSC2666,A Global Sound: African American Music,http://sydney.edu.au/courses/uos/MUSC2666
Conservatorium of Music,Music Foundations,MUSC,UG,Semester 2,MUSC2672,Australian Popular Music,http://sydney.edu.au/courses/uos/MUSC2672
Conservatorium of Music,Music Foundations,MUSC,UG,Semester 1,MUSC2693,Fundamentals of Music 3,http://sydney.edu.au/courses/uos/MUSC2693
Conservatorium of Music,Music Foundations,MUSC,UG,Both semesters,MUSC3601,Contemporary Music Making 1,http://sydney.edu.au/courses/uos/MUSC3601
Conservatorium of Music,Music Foundations,MUSC,UG,Both semesters,MUSC3602,Contemporary Music Making 2,http://sydney.edu.au/courses/uos/MUSC3602
Conservatorium of Music,Music Foundations,MUSC,UG,Semester 2,MUSC3603,Advanced Digital Music Techniques,http://sydney.edu.au/courses/uos/MUSC3603
Conservatorium of Music,Music Foundations,MUSC,UG,Semester 2,MUSC3609,Musicology,http://sydney.edu.au/courses/uos/MUSC3609
Conservatorium of Music,Music Foundations,MUSC,UG,Semester 1,MUSC3610,Musical Traditions and Globalization,http://sydney.edu.au/courses/uos/MUSC3610
Conservatorium of Music,Music Foundations,MUSC,UG,Semester 1,MUSC3639,Music Journalism,http://sydney.edu.au/courses/uos/MUSC3639
Conservatorium of Music,Music Foundations,MUSC,UG,Semester 2,MUSC3640,Rhythms and Sounds of Latin America,N/A - not currently offered
Conservatorium of Music,Music Foundations,MUSC,UG,Semester 2,MUSC3699,Understanding Music: Modes of Hearing,http://sydney.edu.au/courses/uos/MUSC3699
Conservatorium of Music,Organ,ORGN,UG,Both semesters,ORGN1008,Organ Resources 1,http://sydney.edu.au/courses/uos/ORGN1008
Conservatorium of Music,Organ,ORGN,UG,Both semesters,ORGN1009,Organ Resources 2,http://sydney.edu.au/courses/uos/ORGN1009
Conservatorium of Music,Organ,ORGN,UG,Both semesters,ORGN1601,Organ 1,http://sydney.edu.au/courses/uos/ORGN1601
Conservatorium of Music,Organ,ORGN,UG,Both semesters,ORGN1602,Organ 2,http://sydney.edu.au/courses/uos/ORGN1602
Conservatorium of Music,Organ,ORGN,UG,Both semesters,ORGN2008,Organ Resources 3,http://sydney.edu.au/courses/uos/ORGN2008
Conservatorium of Music,Organ,ORGN,UG,Both semesters,ORGN2009,Organ Resources 4,http://sydney.edu.au/courses/uos/ORGN2009
Conservatorium of Music,Organ,ORGN,UG,Both semesters,ORGN2603,Organ 3,http://sydney.edu.au/courses/uos/ORGN2603
Conservatorium of Music,Organ,ORGN,UG,Both semesters,ORGN2604,Organ 4,http://sydney.edu.au/courses/uos/ORGN2604
Conservatorium of Music,Organ,ORGN,UG,Both semesters,ORGN3003,Organ Resources 5,http://sydney.edu.au/courses/uos/ORGN3003
Conservatorium of Music,Organ,ORGN,UG,Both semesters,ORGN3008,Organ Resources 6,http://sydney.edu.au/courses/uos/ORGN3008
Conservatorium of Music,Organ,ORGN,UG,Both semesters,ORGN3605,Organ 5,http://sydney.edu.au/courses/uos/ORGN3605
Conservatorium of Music,Organ,ORGN,UG,Both semesters,ORGN3606,Organ 6,http://sydney.edu.au/courses/uos/ORGN3606
Conservatorium of Music,Principal Study/Conducting,PERF,UG,Semester 1,PERF2604,Chinese Music Ensemble 1,http://sydney.edu.au/courses/uos/PERF2604
Conservatorium of Music,Principal Study/Conducting,PERF,UG,Semester 2,PERF2605,Chinese Music Ensemble 2,http://sydney.edu.au/courses/uos/PERF2605
Conservatorium of Music,Principal Study/Conducting,PERF,UG,Semester 1,PERF3000,Conducting 1,http://sydney.edu.au/courses/uos/PERF3000
Conservatorium of Music,Principal Study/Conducting,PERF,UG,Semester 2,PERF3001,Conducting 2,http://sydney.edu.au/courses/uos/PERF3001
Conservatorium of Music,Principal Study/Conducting,PERF,UG,Semester 2,PERF3607,Chinese Music Ensemble 4,http://sydney.edu.au/courses/uos/PERF3607
Conservatorium of Music,Percussion,PRCN,UG,Both semesters,PRCN1601,Percussion 1,http://sydney.edu.au/courses/uos/PRCN1601
Conservatorium of Music,Percussion,PRCN,UG,Both semesters,PRCN1602,Percussion 2,http://sydney.edu.au/courses/uos/PRCN1602
Conservatorium of Music,Percussion,PRCN,UG,Semester 1,PRCN2006,Resource Class - Percussion,http://sydney.edu.au/courses/uos/PRCN2006
Conservatorium of Music,Percussion,PRCN,UG,Both semesters,PRCN2603,Percussion 3,http://sydney.edu.au/courses/uos/PRCN2603
Conservatorium of Music,Percussion,PRCN,UG,Both semesters,PRCN2604,Percussion 4,http://sydney.edu.au/courses/uos/PRCN2604
Conservatorium of Music,Percussion,PRCN,UG,Both semesters,PRCN3605,Percussion 5,http://sydney.edu.au/courses/uos/PRCN3605
Conservatorium of Music,Percussion,PRCN,UG,Both semesters,PRCN3606,Percussion 6,http://sydney.edu.au/courses/uos/PRCN3606
Conservatorium of Music,Strings,STRG,UG,Both semesters,STRG1015,Strings Performance Class 1,http://sydney.edu.au/courses/uos/STRG1015
Conservatorium of Music,Strings,STRG,UG,Both semesters,STRG1016,Strings Performance Class 2,http://sydney.edu.au/courses/uos/STRG1016
Conservatorium of Music,Strings,STRG,UG,Both semesters,STRG1601,Double Bass 1,http://sydney.edu.au/courses/uos/STRG1601
Conservatorium of Music,Strings,STRG,UG,Both semesters,STRG1602,Double Bass 2,http://sydney.edu.au/courses/uos/STRG1602
Conservatorium of Music,Strings,STRG,UG,Both semesters,STRG1611,Guitar 1,http://sydney.edu.au/courses/uos/STRG1611
Conservatorium of Music,Strings,STRG,UG,Both semesters,STRG1612,Guitar 2,http://sydney.edu.au/courses/uos/STRG1612
Conservatorium of Music,Strings,STRG,UG,Both semesters,STRG1621,Harp 1,http://sydney.edu.au/courses/uos/STRG1621
Conservatorium of Music,Strings,STRG,UG,Both semesters,STRG1622,Harp 2,http://sydney.edu.au/courses/uos/STRG1622
Conservatorium of Music,Strings,STRG,UG,Both semesters,STRG1641,Viola 1,http://sydney.edu.au/courses/uos/STRG1641
Conservatorium of Music,Strings,STRG,UG,Both semesters,STRG1642,Viola 2,http://sydney.edu.au/courses/uos/STRG1642
Conservatorium of Music,Strings,STRG,UG,Both semesters,STRG1661,Violin 1,http://sydney.edu.au/courses/uos/STRG1661
Conservatorium of Music,Strings,STRG,UG,Both semesters,STRG1662,Violin 2,http://sydney.edu.au/courses/uos/STRG1662
Conservatorium of Music,Strings,STRG,UG,Both semesters,STRG1671,Violoncello 1,http://sydney.edu.au/courses/uos/STRG1671
Conservatorium of Music,Strings,STRG,UG,Both semesters,STRG1672,Violoncello 2,http://sydney.edu.au/courses/uos/STRG1672
Conservatorium of Music,Strings,STRG,UG,Both semesters,STRG2014,Strings Performance Class 3,http://sydney.edu.au/courses/uos/STRG2014
Conservatorium of Music,Strings,STRG,UG,Both semesters,STRG2015,Strings Performance Class 4,http://sydney.edu.au/courses/uos/STRG2015
Conservatorium of Music,Strings,STRG,UG,Both semesters,STRG2603,Double Bass 3,http://sydney.edu.au/courses/uos/STRG2603
Conservatorium of Music,Strings,STRG,UG,Both semesters,STRG2604,Double Bass 4,http://sydney.edu.au/courses/uos/STRG2604
Conservatorium of Music,Strings,STRG,UG,Both semesters,STRG2613,Guitar 3,http://sydney.edu.au/courses/uos/STRG2613
Conservatorium of Music,Strings,STRG,UG,Both semesters,STRG2614,Guitar 4,http://sydney.edu.au/courses/uos/STRG2614
Conservatorium of Music,Strings,STRG,UG,Both semesters,STRG2623,Harp 3,http://sydney.edu.au/courses/uos/STRG2623
Conservatorium of Music,Strings,STRG,UG,Both semesters,STRG2624,Harp 4,http://sydney.edu.au/courses/uos/STRG2624
Conservatorium of Music,Strings,STRG,UG,Both semesters,STRG2643,Viola 3,http://sydney.edu.au/courses/uos/STRG2643
Conservatorium of Music,Strings,STRG,UG,Both semesters,STRG2644,Viola 4,http://sydney.edu.au/courses/uos/STRG2644
Conservatorium of Music,Strings,STRG,UG,Both semesters,STRG2663,Violin 3,http://sydney.edu.au/courses/uos/STRG2663
Conservatorium of Music,Strings,STRG,UG,Both semesters,STRG2664,Violin 4,http://sydney.edu.au/courses/uos/STRG2664
Conservatorium of Music,Strings,STRG,UG,Both semesters,STRG2673,Violoncello 3,http://sydney.edu.au/courses/uos/STRG2673
Conservatorium of Music,Strings,STRG,UG,Both semesters,STRG2674,Violoncello 4,http://sydney.edu.au/courses/uos/STRG2674
Conservatorium of Music,Strings,STRG,UG,Both semesters,STRG3010,Pedagogy Guitar 1,http://sydney.edu.au/courses/uos/STRG3010
Conservatorium of Music,Strings,STRG,UG,Semester 1,STRG3012,Pedagogy Strings 1,http://sydney.edu.au/courses/uos/STRG3012
Conservatorium of Music,Strings,STRG,UG,Both semesters,STRG3018,Strings Performance Class 5,http://sydney.edu.au/courses/uos/STRG3018
Conservatorium of Music,Strings,STRG,UG,Both semesters,STRG3019,Strings Performance Class 6,http://sydney.edu.au/courses/uos/STRG3019
Conservatorium of Music,Strings,STRG,UG,Both semesters,STRG3605,Double Bass 5,http://sydney.edu.au/courses/uos/STRG3605
Conservatorium of Music,Strings,STRG,UG,Both semesters,STRG3606,Double Bass 6,http://sydney.edu.au/courses/uos/STRG3606
Conservatorium of Music,Strings,STRG,UG,Both semesters,STRG3615,Guitar 5,http://sydney.edu.au/courses/uos/STRG3615
Conservatorium of Music,Strings,STRG,UG,Both semesters,STRG3616,Guitar 6,http://sydney.edu.au/courses/uos/STRG3616
Conservatorium of Music,Strings,STRG,UG,Both semesters,STRG3625,Harp 5,http://sydney.edu.au/courses/uos/STRG3625
Conservatorium of Music,Strings,STRG,UG,Both semesters,STRG3626,Harp 6,http://sydney.edu.au/courses/uos/STRG3626
Conservatorium of Music,Strings,STRG,UG,Both semesters,STRG3645,Viola 5,http://sydney.edu.au/courses/uos/STRG3645
Conservatorium of Music,Strings,STRG,UG,Both semesters,STRG3646,Viola 6,http://sydney.edu.au/courses/uos/STRG3646
Conservatorium of Music,Strings,STRG,UG,Both semesters,STRG3665,Violin 5,http://sydney.edu.au/courses/uos/STRG3665
Conservatorium of Music,Strings,STRG,UG,Both semesters,STRG3666,Violin 6,http://sydney.edu.au/courses/uos/STRG3666
Conservatorium of Music,Strings,STRG,UG,Both semesters,STRG3675,Violoncello 5,http://sydney.edu.au/courses/uos/STRG3675
Conservatorium of Music,Strings,STRG,UG,Both semesters,STRG3676,Violoncello 6,http://sydney.edu.au/courses/uos/STRG3676
Conservatorium of Music,Voice,VSAO,UG,Semester 2,VSAO1008,Italian Diction for Singers 1,http://sydney.edu.au/courses/uos/VSAO1008
Conservatorium of Music,Voice,VSAO,UG,Semester 1,VSAO1009,German Diction for Singers 1,http://sydney.edu.au/courses/uos/VSAO1009
Conservatorium of Music,Voice,VSAO,UG,Both semesters,VSAO1611,Voice 1,http://sydney.edu.au/courses/uos/VSAO1611
Conservatorium of Music,Voice,VSAO,UG,Both semesters,VSAO1612,Voice 2,http://sydney.edu.au/courses/uos/VSAO1612
Conservatorium of Music,Voice,VSAO,UG,Both semesters,VSAO2613,Voice 3,http://sydney.edu.au/courses/uos/VSAO2613
Conservatorium of Music,Voice,VSAO,UG,Both semesters,VSAO2614,Voice 4,http://sydney.edu.au/courses/uos/VSAO2614
Conservatorium of Music,Voice,VSAO,UG,Semester 1,VSAO3014,Pedagogy Voice 1,http://sydney.edu.au/courses/uos/VSAO3014
Conservatorium of Music,Voice,VSAO,UG,Both semesters,VSAO3601,Stage Fundamentals For Singers,http://sydney.edu.au/courses/uos/VSAO3601
Conservatorium of Music,Voice,VSAO,UG,Both semesters,VSAO3615,Voice 5,http://sydney.edu.au/courses/uos/VSAO3615
Conservatorium of Music,Voice,VSAO,UG,Both semesters,VSAO3616,Voice 6,http://sydney.edu.au/courses/uos/VSAO3616
Conservatorium of Music,Woodwinds,WIND,UG,Both semesters,WIND1016,Saxophone Orchestra 1,http://sydney.edu.au/courses/uos/WIND1016
Conservatorium of Music,Woodwinds,WIND,UG,Both semesters,WIND1017,Saxophone Orchestra 2,http://sydney.edu.au/courses/uos/WIND1017
Conservatorium of Music,Woodwinds,WIND,UG,Both semesters,WIND1611,Bassoon 1,http://sydney.edu.au/courses/uos/WIND1611
Conservatorium of Music,Woodwinds,WIND,UG,Both semesters,WIND1612,Bassoon 2,http://sydney.edu.au/courses/uos/WIND1612
Conservatorium of Music,Woodwinds,WIND,UG,Both semesters,WIND1621,Clarinet 1,http://sydney.edu.au/courses/uos/WIND1621
Conservatorium of Music,Woodwinds,WIND,UG,Both semesters,WIND1622,Clarinet 2,http://sydney.edu.au/courses/uos/WIND1622
Conservatorium of Music,Woodwinds,WIND,UG,Both semesters,WIND1631,Flute 1,http://sydney.edu.au/courses/uos/WIND1631
Conservatorium of Music,Woodwinds,WIND,UG,Both semesters,WIND1632,Flute 2,http://sydney.edu.au/courses/uos/WIND1632
Conservatorium of Music,Woodwinds,WIND,UG,Both semesters,WIND1641,Oboe 1,http://sydney.edu.au/courses/uos/WIND1641
Conservatorium of Music,Woodwinds,WIND,UG,Both semesters,WIND1642,Oboe 2,http://sydney.edu.au/courses/uos/WIND1642
Conservatorium of Music,Woodwinds,WIND,UG,Both semesters,WIND1661,Saxophone 1,http://sydney.edu.au/courses/uos/WIND1661
Conservatorium of Music,Woodwinds,WIND,UG,Both semesters,WIND1662,Saxophone 2,http://sydney.edu.au/courses/uos/WIND1662
Conservatorium of Music,Woodwinds,WIND,UG,Both semesters,WIND2016,Saxophone Orchestra 3,http://sydney.edu.au/courses/uos/WIND2016
Conservatorium of Music,Woodwinds,WIND,UG,Both semesters,WIND2017,Saxophone Orchestra 4,http://sydney.edu.au/courses/uos/WIND2017
Conservatorium of Music,Woodwinds,WIND,UG,Both semesters,WIND2018,Woodwind Class 1,http://sydney.edu.au/courses/uos/WIND2018
Conservatorium of Music,Woodwinds,WIND,UG,Both semesters,WIND2019,Woodwind Class 2,http://sydney.edu.au/courses/uos/WIND2019
Conservatorium of Music,Woodwinds,WIND,UG,Both semesters,WIND2613,Bassoon 3,http://sydney.edu.au/courses/uos/WIND2613
Conservatorium of Music,Woodwinds,WIND,UG,Both semesters,WIND2614,Bassoon 4,http://sydney.edu.au/courses/uos/WIND2614
Conservatorium of Music,Woodwinds,WIND,UG,Both semesters,WIND2623,Clarinet 3,http://sydney.edu.au/courses/uos/WIND2623
Conservatorium of Music,Woodwinds,WIND,UG,Both semesters,WIND2624,Clarinet 4,http://sydney.edu.au/courses/uos/WIND2624
Conservatorium of Music,Woodwinds,WIND,UG,Both semesters,WIND2633,Flute 3,http://sydney.edu.au/courses/uos/WIND2633
Conservatorium of Music,Woodwinds,WIND,UG,Both semesters,WIND2634,Flute 4,http://sydney.edu.au/courses/uos/WIND2634
Conservatorium of Music,Woodwinds,WIND,UG,Both semesters,WIND2643,Oboe 3,http://sydney.edu.au/courses/uos/WIND2643
Conservatorium of Music,Woodwinds,WIND,UG,Both semesters,WIND2644,Oboe 4,http://sydney.edu.au/courses/uos/WIND2644
Conservatorium of Music,Woodwinds,WIND,UG,Both semesters,WIND2663,Saxophone 3,http://sydney.edu.au/courses/uos/WIND2663
Conservatorium of Music,Woodwinds,WIND,UG,Both semesters,WIND2664,Saxophone 4,http://sydney.edu.au/courses/uos/WIND2664
Conservatorium of Music,Woodwinds,WIND,UG,Semester 1,WIND3010,Pedagogy Woodwind 1,http://sydney.edu.au/courses/uos/WIND3010
Conservatorium of Music,Woodwinds,WIND,UG,Both semesters,WIND3018,Saxophone Orchestra 5,http://sydney.edu.au/courses/uos/WIND3018
Conservatorium of Music,Woodwinds,WIND,UG,Both semesters,WIND3019,Saxophone Orchestra 6,http://sydney.edu.au/courses/uos/WIND3019
Conservatorium of Music,Woodwinds,WIND,UG,Both semesters,WIND3020,Woodwind Class 3,http://sydney.edu.au/courses/uos/WIND3020
Conservatorium of Music,Woodwinds,WIND,UG,Both semesters,WIND3021,Woodwind Class 4,http://sydney.edu.au/courses/uos/WIND3021
Conservatorium of Music,Woodwinds,WIND,UG,Both semesters,WIND3036,Woodwind Class 5,http://sydney.edu.au/courses/uos/WIND3036
Conservatorium of Music,Woodwinds,WIND,UG,Both semesters,WIND3037,Woodwind Class 6,http://sydney.edu.au/courses/uos/WIND3037
Conservatorium of Music,Woodwinds,WIND,UG,Both semesters,WIND3615,Bassoon 5,http://sydney.edu.au/courses/uos/WIND3615
Conservatorium of Music,Woodwinds,WIND,UG,Both semesters,WIND3616,Bassoon 6,http://sydney.edu.au/courses/uos/WIND3616
Conservatorium of Music,Woodwinds,WIND,UG,Both semesters,WIND3625,Clarinet 5,http://sydney.edu.au/courses/uos/WIND3625
Conservatorium of Music,Woodwinds,WIND,UG,Both semesters,WIND3626,Clarinet 6,http://sydney.edu.au/courses/uos/WIND3626
Conservatorium of Music,Woodwinds,WIND,UG,Both semesters,WIND3635,Flute 5,http://sydney.edu.au/courses/uos/WIND3635
Conservatorium of Music,Woodwinds,WIND,UG,Both semesters,WIND3636,Flute 6,http://sydney.edu.au/courses/uos/WIND3636
Conservatorium of Music,Woodwinds,WIND,UG,Both semesters,WIND3645,Oboe 5,http://sydney.edu.au/courses/uos/WIND3645
Conservatorium of Music,Woodwinds,WIND,UG,Both semesters,WIND3646,Oboe 6,http://sydney.edu.au/courses/uos/WIND3646
Conservatorium of Music,Woodwinds,WIND,UG,Both semesters,WIND3665,Saxophone 5,http://sydney.edu.au/courses/uos/WIND3665
Conservatorium of Music,Woodwinds,WIND,UG,Both semesters,WIND3666,Saxophone 6,http://sydney.edu.au/courses/uos/WIND3666
Education and Social Work,Education (Early Childhood),EDEC,UG,Semester 2,EDEC1002,Health and Wellness in Early Childhood,http://sydney.edu.au/courses/uos/EDEC1002
Education and Social Work,Education (Early Childhood),EDEC,UG,Semester 2,EDEC1003,Changing Childhoods,http://sydney.edu.au/courses/uos/EDEC1003
Education and Social Work,Education (Early Childhood),EDEC,UG,Semester 1,EDEC1005,Introduction to EC Education,http://sydney.edu.au/courses/uos/EDEC1005
Education and Social Work,Education (Early Childhood),EDEC,UG,Semester 1,EDEC1006,Learning Through Play in Early Childhood,http://sydney.edu.au/courses/uos/EDEC1006
Education and Social Work,Education (Early Childhood),EDEC,UG,Semester 2,EDEC1007,Health and Wellbeing in Early Childhood,http://sydney.edu.au/courses/uos/EDEC1007
Education and Social Work,Education (Early Childhood),EDEC,UG,Semester 2,EDEC1008,History and Philosophy of ECE,http://sydney.edu.au/courses/uos/EDEC1008
Education and Social Work,Education (Early Childhood),EDEC,UG,Semester 2,EDEC2001,Creative Arts in Early Childhood,http://sydney.edu.au/courses/uos/EDEC2001
Education and Social Work,Education (Early Childhood),EDEC,UG,Semester 1,EDEC2003,Diversity and Indigenous Studies in EC,http://sydney.edu.au/courses/uos/EDEC2003
Education and Social Work,Education (Early Childhood),EDEC,UG,Semester 1,EDEC2004,Language Development in Early Childhood,http://sydney.edu.au/courses/uos/EDEC2004
Education and Social Work,Education (Early Childhood),EDEC,UG,Semester 1,EDEC3001,Ethics and Social Justice,http://sydney.edu.au/courses/uos/EDEC3001
Education and Social Work,Education (Early Childhood),EDEC,UG,Semester 1,EDEC3002,Caregiving for Infants and Toddlers,http://sydney.edu.au/courses/uos/EDEC3002
Education and Social Work,Education (Early Childhood),EDEC,UG,Semester 1,EDEC3003,Mathematics in Early Childhood,http://sydney.edu.au/courses/uos/EDEC3003
Education and Social Work,Education (Early Childhood),EDEC,UG,Semester 2,EDEC3004,Management & Administration in EC,http://sydney.edu.au/courses/uos/EDEC3004
Education and Social Work,Education (Early Childhood),EDEC,UG,Semester 2,EDEC3005,Science in Early Childhood,http://sydney.edu.au/courses/uos/EDEC3005
Education and Social Work,Education (Early Childhood),EDEC,UG,Semester 1,EDEC4001,Creating Effective Parent Partnerships,http://sydney.edu.au/courses/uos/EDEC4001
Education and Social Work,Education (Early Childhood),EDEC,UG,Semester 1,EDEC4002,Curriculum in Early Childhood,http://sydney.edu.au/courses/uos/EDEC4002
Education and Social Work,Education (Early Childhood),EDEC,UG,Semester 2,EDEC4004,Multiliteracies and Transitions,http://sydney.edu.au/courses/uos/EDEC4004
Education and Social Work,Education (Early Childhood),EDEC,UG,Semester 2,EDEC4005,Professional Leadership and Advocacy,http://sydney.edu.au/courses/uos/EDEC4005
